ENSP00000436737	ENSG00000085063	ENST00000533403
ENSP00000454611	ENSG00000125107	ENST00000568917
ENSP00000454610	ENSG00000074696	ENST00000562832
ENSP00000460933	ENSG00000179958	ENST00000565758
ENSP00000467322	ENSG00000068120	ENST00000587157
ENSP00000460937	ENSG00000159842	ENST00000573559
ENSP00000460939	ENSG00000108641	ENST00000477478
ENSP00000450724	ENSG00000100836	ENST00000557702
ENSP00000459092	ENSG00000170175	ENST00000576360
ENSP00000480840	ENSG00000274945	ENST00000610911
ENSP00000432540	ENSG00000134215	ENST00000527011
ENSP00000436258	ENSG00000116785	ENST00000471440
ENSP00000436252	ENSG00000078124	ENST00000533873
ENSP00000436257	ENSG00000183889	ENST00000527703
ENSP00000436256	ENSG00000112339	ENST00000527578
ENSP00000423176	ENSG00000196104	ENST00000510403
ENSP00000450166	ENSG00000136051	ENST00000552203
ENSP00000423171	ENSG00000179636	ENST00000472458
ENSP00000423179	ENSG00000145147	ENST00000512993
ENSP00000450163	ENSG00000050426	ENST00000550929
ENSP00000344392	ENSG00000103351	ENST00000341633
ENSP00000376919	ENSG00000108848	ENST00000393227
ENSP00000484666	ENSG00000089091	ENST00000480488
ENSP00000408062	ENSG00000106263	ENST00000431643
ENSP00000408065	ENSG00000183765	ENST00000439200
ENSP00000387308	ENSG00000138079	ENST00000409387
ENSP00000427946	ENSG00000164961	ENST00000523297
ENSP00000387300	ENSG00000197380	ENST00000410105
ENSP00000387301	ENSG00000136710	ENST00000409127
ENSP00000387305	ENSG00000163002	ENST00000409798
ENSP00000380657	ENSG00000184708	ENST00000397523
ENSP00000471079	ENSG00000197128	ENST00000600175
ENSP00000471073	ENSG00000132002	ENST00000598235
ENSP00000471071	ENSG00000197928	ENST00000598806
ENSP00000462792	ENSG00000141562	ENST00000577432
ENSP00000462790	ENSG00000177302	ENST00000580095
ENSP00000373240	ENSG00000114268	ENST00000383734
ENSP00000453201	ENSG00000100949	ENST00000560777
ENSP00000428050	ENSG00000147586	ENST00000519386
ENSP00000366469	ENSG00000119139	ENST00000377259
ENSP00000468838	ENSG00000161609	ENST00000594905
ENSP00000474643	ENSG00000104863	ENST00000486217
ENSP00000474646	ENSG00000112679	ENST00000603453
ENSP00000474647	ENSG00000173068	ENST00000486514
ENSP00000474645	ENSG00000204842	ENST00000475132
ENSP00000468834	ENSG00000105393	ENST00000595632
ENSP00000468837	ENSG00000268434	ENST00000596586
ENSP00000430944	ENSG00000025770	ENST00000522304
ENSP00000430946	ENSG00000086589	ENST00000521464
ENSP00000430943	ENSG00000104299	ENST00000521777
ENSP00000430942	ENSG00000134014	ENST00000517975
ENSP00000463770	ENSG00000103067	ENST00000564382
ENSP00000333268	ENSG00000136488	ENST00000329882
ENSP00000430948	ENSG00000164620	ENST00000521367
ENSP00000463774	ENSG00000109066	ENST00000578764
ENSP00000462429	ENSG00000167377	ENST00000564528
ENSP00000462421	ENSG00000169750	ENST00000584341
ENSP00000462422	ENSG00000263309	ENST00000581268
ENSP00000363052	ENSG00000088367	ENST00000373941
ENSP00000461686	ENSG00000091262	ENST00000575728
ENSP00000461680	ENSG00000141556	ENST00000574975
ENSP00000461682	ENSG00000197879	ENST00000570490
ENSP00000461688	ENSG00000132507	ENST00000572815
ENSP00000402748	ENSG00000186088	ENST00000430584
ENSP00000402746	ENSG00000099910	ENST00000423364
ENSP00000402747	ENSG00000067829	ENST00000444338
ENSP00000402744	ENSG00000214160	ENST00000445626
ENSP00000476867	ENSG00000118518	ENST00000477776
ENSP00000452611	ENSG00000166855	ENST00000559218
ENSP00000452610	ENSG00000064835	ENST00000560656
ENSP00000429145	ENSG00000114248	ENST00000523069
ENSP00000402741	ENSG00000169084	ENST00000444280
ENSP00000425351	ENSG00000145703	ENST00000509074
ENSP00000398358	ENSG00000198836	ENST00000445863
ENSP00000451530	ENSG00000100722	ENST00000555900
ENSP00000460481	ENSG00000067365	ENST00000562973
ENSP00000460483	ENSG00000161905	ENST00000574640
ENSP00000460482	ENSG00000108602	ENST00000494157
ENSP00000383106	ENSG00000125826	ENST00000400247
ENSP00000475510	ENSG00000089006	ENST00000606557
ENSP00000475512	ENSG00000204531	ENST00000513407
ENSP00000475519	ENSG00000178607	ENST00000606895
ENSP00000468305	ENSG00000130202	ENST00000592018
ENSP00000468301	ENSG00000184922	ENST00000586092
ENSP00000302781	ENSG00000169031	ENST00000304990
ENSP00000460153	ENSG00000183747	ENST00000574251
ENSP00000460152	ENSG00000073969	ENST00000576040
ENSP00000460151	ENSG00000168434	ENST00000563164
ENSP00000460150	ENSG00000167695	ENST00000572018
ENSP00000460156	ENSG00000198920	ENST00000576281
ENSP00000460155	ENSG00000177200	ENST00000562785
ENSP00000328160	ENSG00000135439	ENST00000328568
ENSP00000408954	ENSG00000105889	ENST00000439708
ENSP00000453562	ENSG00000137875	ENST00000561198
ENSP00000458559	ENSG00000129214	ENST00000575314
ENSP00000458554	ENSG00000074755	ENST00000573183
ENSP00000458556	ENSG00000141556	ENST00000572953
ENSP00000458553	ENSG00000141198	ENST00000570371
ENSP00000435238	ENSG00000137501	ENST00000524452
ENSP00000435239	ENSG00000173914	ENST00000531969
ENSP00000435230	ENSG00000174015	ENST00000533564
ENSP00000435235	ENSG00000205339	ENST00000527431
ENSP00000435236	ENSG00000135597	ENST00000526022
ENSP00000435237	ENSG00000173327	ENST00000529839
ENSP00000404373	ENSG00000184634	ENST00000444034
ENSP00000303788	ENSG00000168564	ENST00000302350
ENSP00000361989	ENSG00000175854	ENST00000372898
ENSP00000418454	ENSG00000133256	ENST00000465426
ENSP00000418452	ENSG00000250588	ENST00000467377
ENSP00000467682	ENSG00000055483	ENST00000590546
ENSP00000467680	ENSG00000071626	ENST00000592522
ENSP00000408800	ENSG00000091536	ENST00000418233
ENSP00000467687	ENSG00000068120	ENST00000591779
ENSP00000467688	ENSG00000249115	ENST00000590994
ENSP00000378182	ENSG00000162236	ENST00000394690
ENSP00000342232	ENSG00000130726	ENST00000341753
ENSP00000433996	ENSG00000150433	ENST00000524373
ENSP00000433993	ENSG00000154175	ENST00000495063
ENSP00000439935	ENSG00000123106	ENST00000541792
ENSP00000473001	ENSG00000130475	ENST00000594202
ENSP00000473000	ENSG00000176531	ENST00000600660
ENSP00000473004	ENSG00000188785	ENST00000594693
ENSP00000397620	ENSG00000129925	ENST00000424078
ENSP00000361369	ENSG00000101843	ENST00000372295
ENSP00000435906	ENSG00000181135	ENST00000526315
ENSP00000435907	ENSG00000187801	ENST00000484445
ENSP00000435905	ENSG00000173599	ENST00000529047
ENSP00000435902	ENSG00000175356	ENST00000528651
ENSP00000435901	ENSG00000178719	ENST00000534791
ENSP00000435908	ENSG00000109971	ENST00000524552
ENSP00000419324	ENSG00000196998	ENST00000476728
ENSP00000419325	ENSG00000172340	ENST00000493112
ENSP00000419327	ENSG00000197157	ENST00000486037
ENSP00000419320	ENSG00000049541	ENST00000485545
ENSP00000378729	ENSG00000109107	ENST00000395319
ENSP00000477010	ENSG00000163467	ENST00000466306
ENSP00000447248	ENSG00000076108	ENST00000549506
ENSP00000364851	ENSG00000153498	ENST00000375699
ENSP00000370532	ENSG00000122034	ENST00000381140
ENSP00000364854	ENSG00000168646	ENST00000375702
ENSP00000474839	ENSG00000188316	ENST00000512864
ENSP00000444576	ENSG00000185480	ENST00000543784
ENSP00000435991	ENSG00000126391	ENST00000526201
ENSP00000256852	ENSG00000134438	ENST00000256852
ENSP00000421992	ENSG00000204536	ENST00000503420
ENSP00000437212	ENSG00000143207	ENST00000459744
ENSP00000437213	ENSG00000239457	ENST00000527042
ENSP00000446596	ENSG00000088986	ENST00000550178
ENSP00000437218	ENSG00000159176	ENST00000524951
ENSP00000437219	ENSG00000121753	ENST00000533175
ENSP00000446599	ENSG00000137948	ENST00000552654
ENSP00000446598	ENSG00000111229	ENST00000547365
ENSP00000469826	ENSG00000039650	ENST00000600573
ENSP00000360573	ENSG00000020256	ENST00000371518
ENSP00000483954	ENSG00000165949	ENST00000620396
ENSP00000362044	ENSG00000174225	ENST00000372953
ENSP00000446629	ENSG00000136011	ENST00000552777
ENSP00000446628	ENSG00000067798	ENST00000549464
ENSP00000367039	ENSG00000073584	ENST00000377808
ENSP00000446623	ENSG00000166578	ENST00000546692
ENSP00000446622	ENSG00000134291	ENST00000546749
ENSP00000350948	ENSG00000087470	ENST00000358214
ENSP00000434749	ENSG00000148926	ENST00000528544
ENSP00000406095	ENSG00000157500	ENST00000444459
ENSP00000434743	ENSG00000111907	ENST00000528193
ENSP00000434742	ENSG00000137491	ENST00000526839
ENSP00000388536	ENSG00000095370	ENST00000420366
ENSP00000388537	ENSG00000173567	ENST00000421160
ENSP00000474360	ENSG00000151148	ENST00000605142
ENSP00000385162	ENSG00000100219	ENST00000403532
ENSP00000385163	ENSG00000204920	ENST00000407951
ENSP00000385161	ENSG00000105552	ENST00000402551
ENSP00000385169	ENSG00000179912	ENST00000403821
ENSP00000390531	ENSG00000053770	ENST00000431972
ENSP00000390537	ENSG00000122257	ENST00000452655
ENSP00000390535	ENSG00000184304	ENST00000415220
ENSP00000398708	ENSG00000176894	ENST00000428960
ENSP00000449263	ENSG00000072041	ENST00000551612
ENSP00000449264	ENSG00000135108	ENST00000550180
ENSP00000457079	ENSG00000205456	ENST00000569631
ENSP00000449269	ENSG00000152556	ENST00000548345
ENSP00000398702	ENSG00000075711	ENST00000447466
ENSP00000448792	ENSG00000139116	ENST00000551264
ENSP00000448790	ENSG00000089127	ENST00000551241
ENSP00000389615	ENSG00000196166	ENST00000437935
ENSP00000455500	ENSG00000154358	ENST00000474237
ENSP00000455504	ENSG00000174628	ENST00000568061
ENSP00000455506	ENSG00000051523	ENST00000568278
ENSP00000390281	ENSG00000084636	ENST00000440437
ENSP00000434603	ENSG00000167524	ENST00000530121
ENSP00000390288	ENSG00000239857	ENST00000441491
ENSP00000481088	ENSG00000140943	ENST00000562788
ENSP00000481089	ENSG00000276192	ENST00000610670
ENSP00000481081	ENSG00000090006	ENST00000598166
ENSP00000481083	ENSG00000149294	ENST00000621128
ENSP00000392771	ENSG00000136143	ENST00000434484
ENSP00000379442	ENSG00000169344	ENST00000396138
ENSP00000442626	ENSG00000197870	ENST00000538488
ENSP00000442628	ENSG00000100226	ENST00000470836
ENSP00000405546	ENSG00000012223	ENST00000417439
ENSP00000485522	ENSG00000279435	ENST00000624507
ENSP00000404631	ENSG00000007402	ENST00000429770
ENSP00000393398	ENSG00000107897	ENST00000412279
ENSP00000356452	ENSG00000116690	ENST00000367482
ENSP00000440662	ENSG00000166535	ENST00000536789
ENSP00000440661	ENSG00000231738	ENST00000525452
ENSP00000393396	ENSG00000170485	ENST00000433408
ENSP00000440665	ENSG00000076043	ENST00000539754
ENSP00000440664	ENSG00000051825	ENST00000537854
ENSP00000401045	ENSG00000122971	ENST00000411593
ENSP00000448137	ENSG00000167535	ENST00000547818
ENSP00000448133	ENSG00000187109	ENST00000550934
ENSP00000317439	ENSG00000146910	ENST00000321736
ENSP00000352517	ENSG00000151332	ENST00000359527
ENSP00000352515	ENSG00000183814	ENST00000359525
ENSP00000456855	ENSG00000140983	ENST00000561929
ENSP00000456854	ENSG00000149926	ENST00000561666
ENSP00000456853	ENSG00000067221	ENST00000561656
ENSP00000456851	ENSG00000104164	ENST00000565323
ENSP00000465247	ENSG00000182446	ENST00000573876
ENSP00000481620	ENSG00000085231	ENST00000502819
ENSP00000484690	ENSG00000275316	ENST00000614109
ENSP00000452142	ENSG00000072121	ENST00000557306
ENSP00000399016	ENSG00000155754	ENST00000450242
ENSP00000367790	ENSG00000116151	ENST00000378529
ENSP00000269347	ENSG00000141542	ENST00000269347
ENSP00000426281	ENSG00000120729	ENST00000515645
ENSP00000457949	ENSG00000087245	ENST00000568715
ENSP00000351150	ENSG00000137177	ENST00000358380
ENSP00000426282	ENSG00000145425	ENST00000506126
ENSP00000426285	ENSG00000049860	ENST00000511181
ENSP00000418159	ENSG00000133612	ENST00000468796
ENSP00000454758	ENSG00000135709	ENST00000562564
ENSP00000454759	ENSG00000102897	ENST00000562740
ENSP00000418154	ENSG00000204564	ENST00000465699
ENSP00000454757	ENSG00000168488	ENST00000566946
ENSP00000454755	ENSG00000006007	ENST00000569773
ENSP00000418150	ENSG00000184887	ENST00000463376
ENSP00000454751	ENSG00000103194	ENST00000570053
ENSP00000367863	ENSG00000134574	ENST00000378600
ENSP00000367861	ENSG00000178821	ENST00000378598
ENSP00000367867	ENSG00000169885	ENST00000378604
ENSP00000400395	ENSG00000136861	ENST00000416449
ENSP00000415689	ENSG00000047849	ENST00000423088
ENSP00000415688	ENSG00000130413	ENST00000444064
ENSP00000425640	ENSG00000151726	ENST00000505492
ENSP00000216194	ENSG00000239900	ENST00000216194
ENSP00000392111	ENSG00000126391	ENST00000416776
ENSP00000484818	ENSG00000276409	ENST00000620991
ENSP00000484819	ENSG00000055163	ENST00000618329
ENSP00000421881	ENSG00000129625	ENST00000504247
ENSP00000421888	ENSG00000157796	ENST00000512112
ENSP00000416088	ENSG00000166526	ENST00000412947
ENSP00000416082	ENSG00000048991	ENST00000436436
ENSP00000416083	ENSG00000163818	ENST00000440576
ENSP00000421770	ENSG00000145425	ENST00000514682
ENSP00000421772	ENSG00000113430	ENST00000511126
ENSP00000421774	ENSG00000142731	ENST00000515069
ENSP00000455088	ENSG00000140740	ENST00000565331
ENSP00000421776	ENSG00000145425	ENST00000508783
ENSP00000455085	ENSG00000166558	ENST00000569816
ENSP00000464033	ENSG00000109083	ENST00000578985
ENSP00000455083	ENSG00000158545	ENST00000567085
ENSP00000417933	ENSG00000181355	ENST00000485268
ENSP00000417932	ENSG00000198843	ENST00000477889
ENSP00000417931	ENSG00000128596	ENST00000494552
ENSP00000417930	ENSG00000135248	ENST00000466842
ENSP00000425253	ENSG00000146083	ENST00000506378
ENSP00000425250	ENSG00000163682	ENST00000508595
ENSP00000416334	ENSG00000143977	ENST00000413456
ENSP00000430793	ENSG00000120907	ENST00000519229
ENSP00000416331	ENSG00000118197	ENST00000452560
ENSP00000452361	ENSG00000188779	ENST00000554054
ENSP00000452362	ENSG00000165795	ENST00000556974
ENSP00000421152	ENSG00000204580	ENST00000515219
ENSP00000417681	ENSG00000186591	ENST00000496698
ENSP00000417685	ENSG00000158186	ENST00000494949
ENSP00000417687	ENSG00000112294	ENST00000491546
ENSP00000417689	ENSG00000074416	ENST00000493611
ENSP00000407555	ENSG00000106397	ENST00000454310
ENSP00000407551	ENSG00000106397	ENST00000414785
ENSP00000407553	ENSG00000144115	ENST00000449349
ENSP00000346112	ENSG00000140199	ENST00000354181
ENSP00000413308	ENSG00000163468	ENST00000413555
ENSP00000413309	ENSG00000198125	ENST00000442617
ENSP00000413302	ENSG00000118242	ENST00000424992
ENSP00000413306	ENSG00000142949	ENST00000437607
ENSP00000347868	ENSG00000256771	ENST00000355650
ENSP00000476084	ENSG00000130511	ENST00000602088
ENSP00000384352	ENSG00000176946	ENST00000402545
ENSP00000384353	ENSG00000188677	ENST00000404989
ENSP00000458391	ENSG00000173818	ENST00000520284
ENSP00000384356	ENSG00000115020	ENST00000407449
ENSP00000395236	ENSG00000160145	ENST00000448253
ENSP00000395235	ENSG00000166451	ENST00000439957
ENSP00000395234	ENSG00000012223	ENST00000431944
ENSP00000452940	ENSG00000100911	ENST00000559056
ENSP00000395239	ENSG00000134121	ENST00000445697
ENSP00000387919	ENSG00000126583	ENST00000419486
ENSP00000452944	ENSG00000166200	ENST00000558843
ENSP00000456066	ENSG00000169180	ENST00000570033
ENSP00000426507	ENSG00000111863	ENST00000503285
ENSP00000453016	ENSG00000182054	ENST00000559482
ENSP00000428561	ENSG00000085719	ENST00000517391
ENSP00000428566	ENSG00000145675	ENST00000520675
ENSP00000453011	ENSG00000182230	ENST00000503724
ENSP00000428564	ENSG00000138802	ENST00000504968
ENSP00000426501	ENSG00000015532	ENST00000507602
ENSP00000453018	ENSG00000137766	ENST00000559093
ENSP00000453019	ENSG00000238227	ENST00000418388
ENSP00000426508	ENSG00000167653	ENST00000513264
ENSP00000396683	ENSG00000213672	ENST00000413374
ENSP00000424610	ENSG00000109771	ENST00000510776
ENSP00000424611	ENSG00000145781	ENST00000506589
ENSP00000424612	ENSG00000116747	ENST00000512587
ENSP00000424613	ENSG00000133835	ENST00000515320
ENSP00000227378	ENSG00000109971	ENST00000227378
ENSP00000430339	ENSG00000104679	ENST00000520480
ENSP00000414655	ENSG00000175455	ENST00000426152
ENSP00000414650	ENSG00000239306	ENST00000443702
ENSP00000414658	ENSG00000182670	ENST00000414818
ENSP00000473245	ENSG00000105695	ENST00000597035
ENSP00000473243	ENSG00000214189	ENST00000596883
ENSP00000473242	ENSG00000127527	ENST00000599790
ENSP00000408393	ENSG00000165688	ENST00000444897
ENSP00000408392	ENSG00000186522	ENST00000442746
ENSP00000420402	ENSG00000163947	ENST00000473779
ENSP00000385409	ENSG00000213626	ENST00000406087
ENSP00000385400	ENSG00000163001	ENST00000406691
ENSP00000385403	ENSG00000220201	ENST00000403352
ENSP00000385404	ENSG00000143727	ENST00000407983
ENSP00000470912	ENSG00000011243	ENST00000595067
ENSP00000470919	ENSG00000105287	ENST00000598633
ENSP00000479895	ENSG00000272398	ENST00000615659
ENSP00000461942	ENSG00000184650	ENST00000584943
ENSP00000461941	ENSG00000133313	ENST00000582666
ENSP00000476543	ENSG00000125841	ENST00000608875
ENSP00000473798	ENSG00000198015	ENST00000547098
ENSP00000459113	ENSG00000217930	ENST00000577031
ENSP00000422519	ENSG00000185758	ENST00000514470
ENSP00000344740	ENSG00000170160	ENST00000340621
ENSP00000477495	ENSG00000187048	ENST00000462347
ENSP00000422510	ENSG00000164253	ENST00000511036
ENSP00000431065	ENSG00000154734	ENST00000517452
ENSP00000431064	ENSG00000214050	ENST00000518248
ENSP00000431067	ENSG00000113558	ENST00000521216
ENSP00000431068	ENSG00000164611	ENST00000517480
ENSP00000463090	ENSG00000170412	ENST00000581590
ENSP00000463095	ENSG00000076382	ENST00000584206
ENSP00000463094	ENSG00000154864	ENST00000580640
ENSP00000420611	ENSG00000144895	ENST00000465535
ENSP00000409271	ENSG00000167110	ENST00000450617
ENSP00000420613	ENSG00000196344	ENST00000482593
ENSP00000371143	ENSG00000088832	ENST00000381724
ENSP00000371147	ENSG00000120158	ENST00000381728
ENSP00000371149	ENSG00000120158	ENST00000381730
ENSP00000312367	ENSG00000066294	ENST00000311224
ENSP00000259003	ENSG00000204414	ENST00000259003
ENSP00000470260	ENSG00000104894	ENST00000595660
ENSP00000470263	ENSG00000105373	ENST00000597985
ENSP00000478073	ENSG00000183549	ENST00000575070
ENSP00000478072	ENSG00000149294	ENST00000524916
ENSP00000471798	ENSG00000132002	ENST00000601533
ENSP00000381408	ENSG00000160185	ENST00000398367
ENSP00000452683	ENSG00000100938	ENST00000558748
ENSP00000471793	ENSG00000010361	ENST00000529302
ENSP00000471797	ENSG00000105583	ENST00000598732
ENSP00000381402	ENSG00000046653	ENST00000398361
ENSP00000436590	ENSG00000171202	ENST00000528105
ENSP00000435551	ENSG00000165917	ENST00000524487
ENSP00000436592	ENSG00000166902	ENST00000534340
ENSP00000433510	ENSG00000166452	ENST00000525005
ENSP00000463639	ENSG00000221926	ENST00000579219
ENSP00000463636	ENSG00000178999	ENST00000577833
ENSP00000463634	ENSG00000161960	ENST00000583802
ENSP00000463631	ENSG00000136451	ENST00000583932
ENSP00000477025	ENSG00000132676	ENST00000608852
ENSP00000436043	ENSG00000178287	ENST00000528033
ENSP00000462326	ENSG00000263563	ENST00000584398
ENSP00000436047	ENSG00000110080	ENST00000526727
ENSP00000435583	ENSG00000126883	ENST00000498010
ENSP00000435586	ENSG00000151503	ENST00000526422
ENSP00000435587	ENSG00000133789	ENST00000534662
ENSP00000435589	ENSG00000134644	ENST00000532678
ENSP00000428910	ENSG00000104447	ENST00000519076
ENSP00000428916	ENSG00000197043	ENST00000517486
ENSP00000471130	ENSG00000130517	ENST00000595552
ENSP00000479309	ENSG00000274854	ENST00000618026
ENSP00000451575	ENSG00000100628	ENST00000555019
ENSP00000403625	ENSG00000146205	ENST00000451047
ENSP00000451570	ENSG00000184990	ENST00000553810
ENSP00000386842	ENSG00000255552	ENST00000409239
ENSP00000386843	ENSG00000204843	ENST00000409567
ENSP00000408631	ENSG00000187288	ENST00000430427
ENSP00000408632	ENSG00000140945	ENST00000431540
ENSP00000474563	ENSG00000188352	ENST00000604254
ENSP00000382174	ENSG00000197535	ENST00000399228
ENSP00000382175	ENSG00000197535	ENST00000399229
ENSP00000380445	ENSG00000100336	ENST00000397275
ENSP00000469779	ENSG00000204604	ENST00000597924
ENSP00000469777	ENSG00000144589	ENST00000483319
ENSP00000353002	ENSG00000087495	ENST00000359926
ENSP00000461168	ENSG00000169992	ENST00000575301
ENSP00000461167	ENSG00000141556	ENST00000572984
ENSP00000465673	ENSG00000030582	ENST00000586443
ENSP00000465672	ENSG00000180061	ENST00000585918
ENSP00000465677	ENSG00000175662	ENST00000468944
ENSP00000431803	ENSG00000154114	ENST00000528512
ENSP00000431802	ENSG00000197580	ENST00000532593
ENSP00000431806	ENSG00000149292	ENST00000529850
ENSP00000339196	ENSG00000185864	ENST00000341400
ENSP00000431804	ENSG00000168569	ENST00000528367
ENSP00000431809	ENSG00000198169	ENST00000525191
ENSP00000398268	ENSG00000111912	ENST00000438495
ENSP00000358581	ENSG00000160219	ENST00000369568
ENSP00000452008	ENSG00000169291	ENST00000486773
ENSP00000452009	ENSG00000171723	ENST00000555503
ENSP00000360972	ENSG00000187048	ENST00000371905
ENSP00000452001	ENSG00000258947	ENST00000553656
ENSP00000428009	ENSG00000055163	ENST00000522463
ENSP00000236166	ENSG00000117507	ENST00000236166
ENSP00000428000	ENSG00000147419	ENST00000522915
ENSP00000428003	ENSG00000164754	ENST00000518055
ENSP00000428006	ENSG00000119729	ENST00000482449
ENSP00000434358	ENSG00000107807	ENST00000463716
